Business Contract Tracking Register,,,,,,,,,,,,,
Mock data for illustration purposes only — replace with actual contract records,,,,,,,,,,,,,
,,,,,,,,,,,,,
No.,Types of Services,Name of Contract,Country,Partner,Customer,Note,Effective Date,Start Date,End Date,Responsible By,Remark,Status,Cost of Contract
1787,HR & Payroll,Outsourced Payroll Processing Contract #2786,Malaysia,Vanguard Innovations Sdn Bhd,Internal - Procurement,"Multi-year framework agreement, reviewed yearly",09-พ.ย.-2021,23-พ.ย.-2021,24-พ.ค.-2024,Chloe O.,Scope extension being discussed with partner,Expired/Not renewed,"$101,500"
1788,Fleet & Transportation,Fleet Maintenance Agreement #2787,United Kingdom,Radiant Solutions Ltd.,Internal - Admin Dept.,"Multi-year framework agreement, reviewed yearly",22-ส.ค.-2024,22-ส.ค.-2024,20-พ.ย.-2026,Aiko L.,"Renewal quote received, under internal review",Upcoming renewal,"$421,900"
1789,HR & Payroll,Recruitment Services Agreement #2788,South Korea,"Prime Innovations Co., Ltd.",Internal - Supply Chain,Service level agreement reviewed annually,07-มิ.ย.-2023,07-มิ.ย.-2023,20-ต.ค.-2026,Fatima B.,Legal review in progress before renewal,Upcoming renewal,"$54,100"
1790,Travel & Events,Corporate Travel Management Agreement #2789,China,"Prime Trading Co., Ltd.",Internal - Finance Dept.,Service level agreement reviewed annually,09-ธ.ค.-2023,09-ธ.ค.-2023,02-ต.ค.-2026,Suchada H.,Vendor performance review scheduled,Negotiation in progress,"$165,900"
1791,Construction & Maintenance,Elevator Maintenance Contract #2790,Malaysia,Prime Innovations Sdn Bhd,Orion Trading Sdn Bhd,Includes quarterly business review meetings,17-ส.ค.-2024,17-ส.ค.-2024,02-ธ.ค.-2025,Ploy B.,Alternative vendors being benchmarked,Expired/Not renewed,"$325,000"
1792,Insurance,Group Health Insurance Policy #2791,Vietnam,Horizon Holdings JSC,Internal - Supply Chain,Volume discount tier applies above threshold spend,26-ธ.ค.-2022,09-ม.ค.-2023,30-ก.ย.-2026,James K.,Budget approval pending for renewal,Negotiation in progress,"$140,800"
1793,IT Services,Cloud Hosting Agreement #2792,United States,Crown Technologies Inc.,Internal - Operations,Volume discount tier applies above threshold spend,23-เม.ย.-2024,23-เม.ย.-2024,26-ม.ค.-2027,Tanawat D.,Alternative vendors being benchmarked,Negotiation in progress,"$1,280,700"
1794,HR & Payroll,Outsourced Payroll Processing Contract #2793,Philippines,Granite Partners Inc.,Zenith Industries Inc.,Exclusive regional distribution rights included,06-มี.ค.-2026,20-มี.ค.-2026,19-ส.ค.-2027,Chloe D.,Budget approval pending for renewal,Renewed,"$268,000"
1795,Cleaning & Facility,Facility Maintenance Contract #2794,Thailand,"Global Dynamics Co., Ltd.",Internal - Marketing Dept.,Exclusive regional distribution rights included,20-ส.ค.-2023,03-ก.ย.-2023,31-ต.ค.-2026,Piyawan J.,Relationship manager reassigned this quarter,Upcoming renewal,"$284,900"
1796,Training & Development,Leadership Development Engagement #2795,Vietnam,Nova Enterprises JSC,Delta Solutions JSC,Exclusive regional distribution rights included,18-เม.ย.-2025,18-เม.ย.-2025,26-ก.ย.-2026,Piyawan T.,-,Upcoming renewal,"$231,900"
1797,Consulting,Business Process Improvement Engagement #2796,Myanmar,"NorthStar Innovations Co., Ltd.","Ivory Capital Co., Ltd.",Renewal contingent on performance KPIs,03-พ.ค.-2025,10-พ.ค.-2025,30-ธ.ค.-2026,Fatima B.,"Renewal quote received, under internal review",Negotiation in progress,"$1,128,400"
1798,Manufacturing Supply,OEM Production Agreement #2797,Hong Kong,Crest Trading Ltd.,Internal - IT Security,Exclusive regional distribution rights included,10-ส.ค.-2025,24-ส.ค.-2025,04-พ.ย.-2026,Daniel W.,Flagged for cost optimization review,Upcoming renewal,"$1,589,100"
1799,Security,CCTV Monitoring Agreement #2798,United Kingdom,Crest Holdings Ltd.,Internal - IT Dept.,"Multi-year framework agreement, reviewed yearly",04-ก.พ.-2025,04-ก.พ.-2025,21-ก.ย.-2026,Emily P.,Scope extension being discussed with partner,Upcoming renewal,"$232,000"
1800,Financial Services,Corporate Banking Services Agreement #2799,Germany,Titan Solutions GmbH,Internal - Admin Dept.,-,14-มิ.ย.-2021,28-มิ.ย.-2021,22-ธ.ค.-2024,David B.,Budget approval pending for renewal,Expired/Not renewed,"$767,400"
1801,Legal,Litigation Support Contract #2800,China,"Falcon Technologies Co., Ltd.",Internal - Admin Dept.,Exclusive regional distribution rights included,18-ก.ค.-2024,01-ส.ค.-2024,22-ม.ค.-2027,Siti C.,Flagged for cost optimization review,Negotiation in progress,"$35,700"
1802,Printing & Publishing,Annual Report Design & Print Contract #2801,Germany,Anchor Trading GmbH,Internal - E-commerce,-,28-ต.ค.-2023,04-พ.ย.-2023,29-ต.ค.-2026,Ploy D.,Alternative vendors being benchmarked,Upcoming renewal,"$13,900"
1803,Consulting,Change Management Engagement #2802,India,Metro Consulting Pvt. Ltd.,Internal - IT Security,Pricing subject to annual CPI adjustment,11-มิ.ย.-2025,11-มิ.ย.-2025,16-ส.ค.-2026,Fatima T.,Budget approval pending for renewal,Expired/Not renewed,"$445,400"
1804,Consulting,Business Process Improvement Engagement #2803,South Korea,"Crest Innovations Co., Ltd.",Internal - Admin Dept.,Service level agreement reviewed annually,01-มิ.ย.-2023,01-มิ.ย.-2023,10-ก.พ.-2027,Carlos D.,"Renewal quote received, under internal review",Negotiation in progress,"$726,600"
1805,Financial Services,Treasury Management Contract #2804,India,Onyx Innovations Pvt. Ltd.,Global Group Pvt. Ltd.,"Auto-renew clause, 45 days notice required",23-มี.ค.-2024,23-มี.ค.-2024,07-พ.ย.-2026,Hiroshi B.,Legal review in progress before renewal,Upcoming renewal,"$341,600"
1806,Fleet & Transportation,Fleet Maintenance Agreement #2805,Singapore,Granite Logistics Pte Ltd,Radiant Enterprises Pte Ltd,Includes quarterly business review meetings,19-ธ.ค.-2023,02-ม.ค.-2024,02-ธ.ค.-2027,Ploy M.,"Renewal quote received, under internal review",Renewed,"$440,900"
1807,Software Licensing,CRM Platform Subscription Agreement #2806,Japan,Global Enterprises K.K.,Titan Industries K.K.,-,13-ก.พ.-2024,13-ก.พ.-2024,01-ต.ค.-2026,Suchada A.,No issues reported this cycle,Upcoming renewal,"$955,800"
1808,HR & Payroll,HR Systems Implementation Contract #2807,Thailand,"Emerald Systems Co., Ltd.",Internal - Corporate Affairs,"Multi-year framework agreement, reviewed yearly",13-มิ.ย.-2026,27-มิ.ย.-2026,04-พ.ค.-2028,Michael I.,"Renewal quote received, under internal review",Renewed,"$253,400"
1809,Printing & Publishing,Annual Report Design & Print Contract #2808,Myanmar,"Atlas Holdings Co., Ltd.",Internal - Legal Dept.,"Multi-year framework agreement, reviewed yearly",25-ม.ค.-2025,25-ม.ค.-2025,12-ต.ค.-2026,Michael M.,-,Upcoming renewal,"$12,300"
1810,Financial Services,Payment Gateway Services Agreement #2809,United Kingdom,Beacon Dynamics Ltd.,Pacific Holdings Ltd.,Service level agreement reviewed annually,27-พ.ย.-2024,27-พ.ย.-2024,18-พ.ค.-2027,Anucha L.,-,Renewed,"$925,300"
1811,Construction & Maintenance,Building Renovation Contract #2810,Vietnam,Zenith Ventures JSC,Internal - Procurement,Includes quarterly business review meetings,18-ส.ค.-2024,01-ก.ย.-2024,15-ส.ค.-2028,Aiko G.,No issues reported this cycle,Renewed,"$605,500"
1812,Logistics,Last-Mile Delivery Partnership #2811,Cambodia,"Onyx Ventures Co., Ltd.","Zenith Consulting Co., Ltd.","Auto-renew clause, 30 days notice required",14-พ.ค.-2024,14-พ.ค.-2024,12-ธ.ค.-2026,James P.,Vendor performance review scheduled,Negotiation in progress,"$580,100"
1813,Telecommunications,Internet Leased Line Contract #2812,Taiwan,"NorthStar Systems Co., Ltd.",Internal - HR Dept.,"Auto-renew clause, 30 days notice required",03-มิ.ย.-2022,03-มิ.ย.-2022,04-ม.ค.-2026,Wanida H.,"Renewal quote received, under internal review",Expired/Not renewed,"$224,100"
1814,Legal,Regulatory Filing Services #2813,Taiwan,"Apex Partners Co., Ltd.",Internal - HR Dept.,Exclusive regional distribution rights included,18-ก.ค.-2022,01-ส.ค.-2022,22-ธ.ค.-2024,Budi I.,-,Expired/Not renewed,"$254,100"
1815,Telecommunications,Corporate Mobile Plan Agreement #2814,France,Horizon Capital SAS,Internal - Procurement,Exclusive regional distribution rights included,30-มี.ค.-2023,30-มี.ค.-2023,10-ธ.ค.-2024,Kanokwan T.,Vendor performance review scheduled,Expired/Not renewed,"$596,000"
1816,Insurance,Property & Casualty Insurance Contract #2815,United Arab Emirates,Zenith Enterprises LLC,Internal - IT Dept.,Renewal contingent on performance KPIs,07-มิ.ย.-2025,21-มิ.ย.-2025,10-พ.ย.-2026,Hiroshi C.,Legal review in progress before renewal,Negotiation in progress,"$182,400"
1817,IT Services,Cloud Hosting Agreement #2816,Australia,Horizon Industries Pty Ltd,Internal - IT Security,Pricing subject to annual CPI adjustment,11-พ.ค.-2025,18-พ.ค.-2025,15-ก.พ.-2028,Ravi T.,-,Renewed,"$173,300"
1818,Fleet & Transportation,Fleet Maintenance Agreement #2817,China,"Summit Ventures Co., Ltd.",Internal - Operations,Pricing subject to annual CPI adjustment,17-ส.ค.-2024,17-ส.ค.-2024,26-ก.ย.-2026,Siti R.,Legal review in progress before renewal,Negotiation in progress,"$251,200"
1819,Construction & Maintenance,Civil Works Contract #2818,United Arab Emirates,Vertex Partners LLC,Internal - IT Security,Includes 24/7 support SLA with penalty clauses,09-พ.ย.-2026,09-พ.ย.-2026,03-ม.ค.-2028,Minji B.,Legal review in progress before renewal,Renewed,"$449,200"
1820,Real Estate & Leasing,Office Space Lease Agreement #2819,Cambodia,"Trident Capital Co., Ltd.",Internal - Corporate Affairs,Service level agreement reviewed annually,24-ก.ค.-2023,07-ส.ค.-2023,20-ต.ค.-2026,Sarah W.,Legal review in progress before renewal,Upcoming renewal,"$1,480,200"
1821,Marketing,Creative & Branding Services #2820,Thailand,"Atlas Solutions Co., Ltd.",Internal - HR Dept.,Exclusive regional distribution rights included,12-มิ.ย.-2023,12-มิ.ย.-2023,12-ก.ย.-2024,Ahmed H.,"Renewal quote received, under internal review",Expired/Not renewed,"$450,200"
1822,Logistics,Customs Brokerage Agreement #2821,Vietnam,Prime Ventures JSC,Internal - Operations,"Auto-renew clause, 15 days notice required",09-ต.ค.-2025,16-ต.ค.-2025,31-ธ.ค.-2026,Kanokwan F.,Legal review in progress before renewal,Negotiation in progress,"$1,679,300"
1823,Training & Development,Leadership Development Engagement #2822,India,Ivory Ventures Pvt. Ltd.,Internal - Operations,Volume discount tier applies above threshold spend,14-มิ.ย.-2022,28-มิ.ย.-2022,04-ม.ค.-2025,Nathan T.,-,Expired/Not renewed,"$83,200"
1824,HR & Payroll,Outsourced Payroll Processing Contract #2823,United Kingdom,Pacific Solutions Ltd.,Beacon Dynamics Ltd.,Includes quarterly business review meetings,08-มี.ค.-2024,08-มี.ค.-2024,17-พ.ย.-2027,Wanida O.,Scope extension being discussed with partner,Renewed,"$236,000"
1825,Consulting,Change Management Engagement #2824,Singapore,Anchor Capital Pte Ltd,Internal - Marketing Dept.,"Auto-renew clause, 30 days notice required",25-ก.พ.-2027,25-ก.พ.-2027,10-มิ.ย.-2028,Kanokwan T.,"Renewal quote received, under internal review",Renewed,"$362,500"
1826,Telecommunications,Satellite Communication Contract #2825,India,Titan Consulting Pvt. Ltd.,Falcon Services Pvt. Ltd.,Exclusive regional distribution rights included,23-ธ.ค.-2022,23-ธ.ค.-2022,19-พ.ย.-2026,Ravi I.,Budget approval pending for renewal,Negotiation in progress,"$471,200"
1827,Security,Physical Security & Guard Services #2826,South Korea,"Pinnacle Group Co., Ltd.",Internal - IT Security,-,31-พ.ค.-2025,31-พ.ค.-2025,21-ก.ย.-2026,Fatima H.,Vendor performance review scheduled,Negotiation in progress,"$314,300"
1828,Software Licensing,Business Intelligence Platform License #2827,United Kingdom,Falcon Enterprises Ltd.,Alliance Innovations Ltd.,Service level agreement reviewed annually,06-พ.ค.-2023,13-พ.ค.-2023,23-ม.ค.-2026,Sarah D.,Flagged for cost optimization review,Expired/Not renewed,"$2,091,100"
1829,Travel & Events,Conference Venue Agreement #2828,Indonesia,Quantum Trading PT,Atlas Services PT,Volume discount tier applies above threshold spend,05-ก.ย.-2023,19-ก.ย.-2023,21-พ.ย.-2026,Sarah W.,"Renewal quote received, under internal review",Upcoming renewal,"$186,800"
1830,HR & Payroll,HR Systems Implementation Contract #2829,China,"Pinnacle Enterprises Co., Ltd.","Crest Ventures Co., Ltd.",Pricing subject to annual CPI adjustment,06-เม.ย.-2025,13-เม.ย.-2025,06-พ.ย.-2026,Piyawan N.,No issues reported this cycle,Upcoming renewal,"$351,000"
1831,Cleaning & Facility,Pest Control Services Agreement #2830,Malaysia,Alliance Ventures Sdn Bhd,Internal - IT Dept.,-,08-พ.ย.-2022,15-พ.ย.-2022,26-ก.ค.-2025,Carlos L.,No issues reported this cycle,Expired/Not renewed,"$80,900"
1832,Training & Development,E-Learning Platform License #2831,Thailand,"Pacific Technologies Co., Ltd.","Sterling Trading Co., Ltd.",Volume discount tier applies above threshold spend,08-ก.ค.-2025,08-ก.ค.-2025,03-ธ.ค.-2027,Somchai H.,Alternative vendors being benchmarked,Renewed,"$147,900"
1833,Software Licensing,Enterprise Software License (ERP) #2832,Cambodia,"NorthStar Trading Co., Ltd.",Internal - Corporate Affairs,Volume discount tier applies above threshold spend,23-ก.ค.-2024,23-ก.ค.-2024,28-ก.ย.-2027,Laura A.,-,Renewed,"$46,100"
1834,Marketing,Creative & Branding Services #2833,Australia,Delta Consulting Pty Ltd,Internal - Corporate Affairs,Volume discount tier applies above threshold spend,06-ม.ค.-2023,06-ม.ค.-2023,24-พ.ย.-2026,Carlos S.,-,Negotiation in progress,"$142,600"
1835,Logistics,Last-Mile Delivery Partnership #2834,Taiwan,"Granite Partners Co., Ltd.","Quantum Capital Co., Ltd.","Multi-year framework agreement, reviewed yearly",15-พ.ย.-2025,22-พ.ย.-2025,28-ก.พ.-2029,Nathan T.,-,Renewed,"$273,700"
1836,Telecommunications,Internet Leased Line Contract #2835,China,"Ivory Group Co., Ltd.",Internal - Finance Dept.,Service level agreement reviewed annually,15-เม.ย.-2021,15-เม.ย.-2021,20-ส.ค.-2024,Daniel L.,Flagged for cost optimization review,Expired/Not renewed,"$432,000"
1837,Waste Management,Hazardous Waste Management Contract #2836,Indonesia,Vertex Solutions PT,Internal - Marketing Dept.,Service level agreement reviewed annually,03-ก.ค.-2025,03-ก.ค.-2025,09-พ.ย.-2026,Grace J.,Alternative vendors being benchmarked,Upcoming renewal,"$250,300"
1838,Telecommunications,VoIP Services Agreement #2837,Malaysia,Delta Industries Sdn Bhd,Internal - Admin Dept.,Service level agreement reviewed annually,02-ธ.ค.-2022,02-ธ.ค.-2022,14-มิ.ย.-2025,Wanida N.,No issues reported this cycle,Expired/Not renewed,"$588,900"
1839,Marketing,Creative & Branding Services #2838,Cambodia,"Crown Holdings Co., Ltd.","Vertex Partners Co., Ltd.",-,26-ก.ค.-2024,02-ส.ค.-2024,07-ธ.ค.-2026,Siti D.,No issues reported this cycle,Upcoming renewal,"$533,200"
1840,Construction & Maintenance,Civil Works Contract #2839,Philippines,Evergreen Services Inc.,Internal - Corporate Affairs,Exclusive regional distribution rights included,11-ก.ค.-2024,11-ก.ค.-2024,01-ก.พ.-2027,Hiroshi I.,Alternative vendors being benchmarked,Negotiation in progress,"$1,607,800"
1841,Printing & Publishing,Corporate Printing Services Agreement #2840,Malaysia,Alliance Consulting Sdn Bhd,Internal - Admin Dept.,Includes 24/7 support SLA with penalty clauses,13-ธ.ค.-2025,13-ธ.ค.-2025,01-ก.พ.-2027,Piyawan N.,Budget approval pending for renewal,Negotiation in progress,"$114,600"
1842,Construction & Maintenance,Civil Works Contract #2841,United States,Solace Logistics Inc.,Atlas Holdings Inc.,Includes quarterly business review meetings,19-เม.ย.-2025,19-เม.ย.-2025,05-พ.ย.-2026,Tanawat W.,Scope extension being discussed with partner,Upcoming renewal,"$56,200"
1843,Training & Development,E-Learning Platform License #2842,Philippines,Alliance Networks Inc.,Internal - Procurement,Renewal contingent on performance KPIs,01-ม.ค.-2024,15-ม.ค.-2024,08-พ.ย.-2026,Grace A.,Vendor performance review scheduled,Negotiation in progress,"$96,100"
1844,Real Estate & Leasing,Equipment Leasing Agreement #2843,Australia,Falcon Innovations Pty Ltd,Internal - Admin Dept.,Pricing subject to annual CPI adjustment,25-ม.ค.-2023,08-ก.พ.-2023,05-พ.ย.-2026,Siti T.,No issues reported this cycle,Upcoming renewal,"$1,613,400"
1845,Cleaning & Facility,Pest Control Services Agreement #2844,China,"Anchor Systems Co., Ltd.","Meridian Consulting Co., Ltd.",Exclusive regional distribution rights included,29-เม.ย.-2024,29-เม.ย.-2024,23-พ.ค.-2025,Fatima M.,Budget approval pending for renewal,Expired/Not renewed,"$251,600"
1846,Software Licensing,Cybersecurity Software License #2845,France,Delta Group SAS,Internal - Supply Chain,"Multi-year framework agreement, reviewed yearly",29-มิ.ย.-2025,29-มิ.ย.-2025,24-ก.ย.-2026,Wei G.,Flagged for cost optimization review,Negotiation in progress,"$1,208,800"
1847,Cleaning & Facility,Pest Control Services Agreement #2846,Cambodia,"BlueSky Systems Co., Ltd.","Onyx Partners Co., Ltd.",Volume discount tier applies above threshold spend,16-พ.ย.-2022,30-พ.ย.-2022,23-ก.ค.-2026,David F.,Relationship manager reassigned this quarter,Expired/Not renewed,"$188,400"
1848,HR & Payroll,Recruitment Services Agreement #2847,Germany,Falcon Technologies GmbH,Internal - Legal Dept.,Service level agreement reviewed annually,25-มี.ค.-2023,25-มี.ค.-2023,29-ก.ย.-2026,Somchai P.,Relationship manager reassigned this quarter,Upcoming renewal,"$226,900"
1849,Telecommunications,Satellite Communication Contract #2848,Vietnam,Delta Holdings JSC,Internal - Procurement,"Auto-renew clause, 15 days notice required",31-ธ.ค.-2023,31-ธ.ค.-2023,31-ต.ค.-2026,Fatima M.,Budget approval pending for renewal,Negotiation in progress,"$245,800"
1850,Marketing,Media Buying Agreement #2849,Singapore,Granite Group Pte Ltd,Internal - Procurement,Exclusive regional distribution rights included,14-ส.ค.-2024,14-ส.ค.-2024,13-ต.ค.-2026,Hiroshi E.,Relationship manager reassigned this quarter,Upcoming renewal,"$31,300"
1851,Cleaning & Facility,Janitorial Services Agreement #2850,Indonesia,Metro Services PT,Internal - Procurement,Includes 24/7 support SLA with penalty clauses,17-พ.ค.-2027,17-พ.ค.-2027,03-มี.ค.-2029,Somchai G.,Scope extension being discussed with partner,Renewed,"$77,100"
1852,Fleet & Transportation,Fleet Maintenance Agreement #2851,Malaysia,Delta Partners Sdn Bhd,Onyx Solutions Sdn Bhd,Exclusive regional distribution rights included,01-มี.ค.-2026,08-มี.ค.-2026,16-พ.ย.-2027,Budi N.,Alternative vendors being benchmarked,Renewed,"$759,400"
1853,Waste Management,Recycling Services Agreement #2852,United Arab Emirates,Nova Solutions LLC,Internal - IT Dept.,Exclusive regional distribution rights included,14-พ.ค.-2025,21-พ.ค.-2025,28-มิ.ย.-2026,Yuki I.,No issues reported this cycle,Expired/Not renewed,"$38,900"
1854,Training & Development,E-Learning Platform License #2853,Thailand,"Prime Technologies Co., Ltd.",Internal - Procurement,-,09-ม.ค.-2023,16-ม.ค.-2023,15-ต.ค.-2026,Nattapong D.,Vendor performance review scheduled,Negotiation in progress,"$96,800"
1855,Printing & Publishing,Annual Report Design & Print Contract #2854,Thailand,"Radiant Partners Co., Ltd.",Internal - Marketing Dept.,Exclusive regional distribution rights included,06-ก.ค.-2021,20-ก.ค.-2021,01-พ.ย.-2024,Somchai K.,Scope extension being discussed with partner,Expired/Not renewed,"$116,800"
1856,Legal,IP & Trademark Registration Services #2855,Australia,BlueSky Services Pty Ltd,Internal - Procurement,Renewal contingent on performance KPIs,15-ก.ค.-2027,15-ก.ค.-2027,20-ต.ค.-2028,Wei E.,Relationship manager reassigned this quarter,Renewed,"$309,400"
1857,Training & Development,E-Learning Platform License #2856,India,Metro Trading Pvt. Ltd.,Summit Technologies Pvt. Ltd.,Volume discount tier applies above threshold spend,05-มิ.ย.-2022,19-มิ.ย.-2022,29-ก.ค.-2024,Grace F.,"Renewal quote received, under internal review",Expired/Not renewed,"$115,600"
1858,Construction & Maintenance,HVAC Maintenance Agreement #2857,Philippines,Sterling Services Inc.,Internal - HR Dept.,Volume discount tier applies above threshold spend,17-ต.ค.-2026,24-ต.ค.-2026,20-ต.ค.-2028,Siti O.,Legal review in progress before renewal,Renewed,"$104,700"
1859,Waste Management,Hazardous Waste Management Contract #2858,Cambodia,"Prime Industries Co., Ltd.",Internal - Supply Chain,Includes quarterly business review meetings,11-พ.ค.-2025,11-พ.ค.-2025,11-ต.ค.-2028,Somchai T.,Vendor performance review scheduled,Renewed,"$241,800"
1860,Real Estate & Leasing,Equipment Leasing Agreement #2859,South Korea,"Orion Services Co., Ltd.","Titan Trading Co., Ltd.",Includes 24/7 support SLA with penalty clauses,02-ก.ย.-2023,09-ก.ย.-2023,20-ธ.ค.-2026,Aiko B.,No issues reported this cycle,Negotiation in progress,"$1,639,800"
1861,Marketing,Digital Marketing Retainer #2860,Malaysia,Quantum Dynamics Sdn Bhd,Onyx Industries Sdn Bhd,Volume discount tier applies above threshold spend,06-มี.ค.-2024,06-มี.ค.-2024,28-ส.ค.-2027,Priya K.,Alternative vendors being benchmarked,Renewed,"$306,100"
1862,IT Services,Cloud Hosting Agreement #2861,Taiwan,"Pinnacle Trading Co., Ltd.","Pinnacle Dynamics Co., Ltd.","Multi-year framework agreement, reviewed yearly",16-ก.ย.-2025,16-ก.ย.-2025,22-ก.ย.-2027,Kanokwan L.,Flagged for cost optimization review,Renewed,"$1,959,300"
1863,Real Estate & Leasing,Retail Unit Lease Contract #2862,United Kingdom,Summit Solutions Ltd.,Quantum Systems Ltd.,"Multi-year framework agreement, reviewed yearly",19-ธ.ค.-2022,02-ม.ค.-2023,24-พ.ย.-2026,Chloe C.,Relationship manager reassigned this quarter,Upcoming renewal,"$3,106,300"
1864,Telecommunications,Internet Leased Line Contract #2863,United Kingdom,Pacific Group Ltd.,Pinnacle Innovations Ltd.,"Multi-year framework agreement, reviewed yearly",20-ธ.ค.-2024,20-ธ.ค.-2024,05-มี.ค.-2028,Siti D.,Flagged for cost optimization review,Renewed,"$640,400"
1865,Travel & Events,Event Management Services Contract #2864,Taiwan,"Ivory Trading Co., Ltd.","NorthStar Capital Co., Ltd.",Includes 24/7 support SLA with penalty clauses,05-พ.ค.-2026,05-พ.ค.-2026,14-ต.ค.-2028,Grace R.,Scope extension being discussed with partner,Renewed,"$388,000"
1866,Logistics,Fleet Logistics Services Contract #2865,Cambodia,"Global Solutions Co., Ltd.",Internal - Finance Dept.,Includes quarterly business review meetings,22-เม.ย.-2026,22-เม.ย.-2026,20-ธ.ค.-2028,Arjun W.,Legal review in progress before renewal,Renewed,"$597,100"
1867,Legal,Litigation Support Contract #2866,Singapore,Anchor Ventures Pte Ltd,Internal - Legal Dept.,Includes 24/7 support SLA with penalty clauses,15-ส.ค.-2025,15-ส.ค.-2025,20-มี.ค.-2028,James M.,No issues reported this cycle,Renewed,"$189,200"
1868,Legal,Regulatory Filing Services #2867,United Kingdom,Prime Systems Ltd.,Internal - Corporate Affairs,-,10-ก.ย.-2027,17-ก.ย.-2027,04-ม.ค.-2029,Fatima W.,Budget approval pending for renewal,Renewed,"$490,200"
1869,Printing & Publishing,Annual Report Design & Print Contract #2868,Australia,Anchor Capital Pty Ltd,Emerald Services Pty Ltd,Includes 24/7 support SLA with penalty clauses,25-พ.ย.-2025,25-พ.ย.-2025,14-ก.พ.-2028,Wanida M.,-,Renewed,"$137,100"
1870,Training & Development,E-Learning Platform License #2869,Malaysia,Beacon Dynamics Sdn Bhd,Pacific Enterprises Sdn Bhd,Service level agreement reviewed annually,07-ก.ค.-2026,14-ก.ค.-2026,02-ต.ค.-2028,Nattapong A.,Scope extension being discussed with partner,Renewed,"$179,300"
1871,Printing & Publishing,Annual Report Design & Print Contract #2870,Australia,Titan Solutions Pty Ltd,Internal - Admin Dept.,Service level agreement reviewed annually,29-มิ.ย.-2024,29-มิ.ย.-2024,25-ก.ย.-2025,Laura E.,Budget approval pending for renewal,Expired/Not renewed,"$48,700"
1872,Consulting,Digital Transformation Consulting #2871,Philippines,Beacon Industries Inc.,Internal - IT Security,"Multi-year framework agreement, reviewed yearly",08-มี.ค.-2025,22-มี.ค.-2025,10-ก.ย.-2027,Budi J.,Vendor performance review scheduled,Renewed,"$840,400"
1873,HR & Payroll,Employee Benefits Administration #2872,China,"Crest Innovations Co., Ltd.",Internal - HR Dept.,Includes 24/7 support SLA with penalty clauses,19-มี.ค.-2024,19-มี.ค.-2024,21-ธ.ค.-2026,Piyawan T.,Vendor performance review scheduled,Negotiation in progress,"$147,700"
1874,Logistics,Warehouse Lease & Operation Agreement #2873,Singapore,Zenith Group Pte Ltd,Internal - Marketing Dept.,Volume discount tier applies above threshold spend,02-มิ.ย.-2024,09-มิ.ย.-2024,22-ธ.ค.-2026,Daniel J.,"Renewal quote received, under internal review",Negotiation in progress,"$1,448,600"
1875,Waste Management,Hazardous Waste Management Contract #2874,Cambodia,"Metro Consulting Co., Ltd.","NorthStar Innovations Co., Ltd.",Service level agreement reviewed annually,05-ต.ค.-2023,05-ต.ค.-2023,11-ม.ค.-2027,Somchai N.,Flagged for cost optimization review,Negotiation in progress,"$272,800"
1876,HR & Payroll,Employee Benefits Administration #2875,Thailand,"Orion Ventures Co., Ltd.",Internal - HR Dept.,Pricing subject to annual CPI adjustment,23-ก.ค.-2022,23-ก.ค.-2022,18-ส.ค.-2025,Sarah A.,Budget approval pending for renewal,Expired/Not renewed,"$327,300"
1877,Logistics,Customs Brokerage Agreement #2876,Indonesia,Zenith Enterprises PT,Delta Solutions PT,Service level agreement reviewed annually,23-มี.ค.-2022,23-มี.ค.-2022,20-ธ.ค.-2024,Ploy P.,Alternative vendors being benchmarked,Expired/Not renewed,"$456,200"
1878,Consulting,Business Process Improvement Engagement #2877,Cambodia,"Solace Logistics Co., Ltd.",Internal - HR Dept.,Service level agreement reviewed annually,12-ก.ค.-2023,26-ก.ค.-2023,22-ต.ค.-2026,Nattapong R.,No issues reported this cycle,Upcoming renewal,"$477,400"
1879,IT Services,Network Infrastructure Services #2878,Philippines,Evergreen Partners Inc.,Internal - Finance Dept.,Includes 24/7 support SLA with penalty clauses,24-เม.ย.-2027,01-พ.ค.-2027,15-ก.ค.-2028,Laura A.,"Renewal quote received, under internal review",Renewed,"$1,636,800"
1880,Construction & Maintenance,HVAC Maintenance Agreement #2879,Malaysia,Evergreen Logistics Sdn Bhd,Internal - Corporate Affairs,Service level agreement reviewed annually,20-ม.ค.-2025,03-ก.พ.-2025,15-ก.ค.-2028,Hiroshi J.,Alternative vendors being benchmarked,Renewed,"$964,400"
1881,Security,Access Control System Contract #2880,Vietnam,Onyx Enterprises JSC,Crown Consulting JSC,Volume discount tier applies above threshold spend,01-พ.ย.-2023,01-พ.ย.-2023,21-ก.ย.-2026,Nathan W.,Vendor performance review scheduled,Upcoming renewal,"$27,100"
1882,Manufacturing Supply,Packaging Supply Contract #2881,Singapore,Summit Partners Pte Ltd,Granite Industries Pte Ltd,Pricing subject to annual CPI adjustment,21-ธ.ค.-2023,21-ธ.ค.-2023,27-ก.ย.-2026,Ravi I.,Flagged for cost optimization review,Upcoming renewal,"$2,519,700"
1883,Waste Management,Waste Collection & Disposal Contract #2882,France,BlueSky Partners SAS,Internal - Admin Dept.,Service level agreement reviewed annually,07-มิ.ย.-2023,07-มิ.ย.-2023,28-ก.ค.-2024,Wei R.,No issues reported this cycle,Expired/Not renewed,"$294,400"
